company,careers_url,ats_type,source,last_checked,status,notes
Benevity,https://benevity.com/careers,greenhouse,seed,2026-04-10,active,"Calgary-based, tech for good"
Proper AI,https://www.proper.ai,unknown,seed,2026-07-04,active,"Calgary-based AI/ERP agents; raised $10M Series A Aug 2024; hiring senior engineers"
360Learning,https://www.360learning.com/careers,unknown,seed,2026-07-04,active,"Paris-based L&D SaaS; Canada-remote SWE roles; 700+ employees"
ThinkData Works,https://www.thinkdataworks.com,unknown,seed,2026-07-04,active,"Toronto-based data infrastructure SaaS; some Canada-remote SWE roles; Series B"
Symend,https://symend.com/careers,greenhouse,seed,2026-04-10,active,"Calgary fintech"
Village Trust,https://villagetrust.com/careers,lever,seed,2026-04-10,active,"Calgary fintech/insurtech"
Canadian Pacific Kansas City,https://cPKC.com/careers,greenhouse,seed,2026-04-10,active,"Major rail company, tech modernization"
ATB Financial,https://atb.com/careers,greenhouse,seed,2026-04-10,active,"Alberta bank, big tech presence"
Occupational Health,https://occupationalhealth.ca/careers,unknown,seed,2026-04-10,active,"Check if they have SWE roles"
Granite Solutions,https://granitesolutions.ca/careers,unknown,seed,2026-04-10,active,"Calgary-based"
Mackenzie Financial,https://mackenzieinvestments.com/careers,greenhouse,seed,2026-04-10,active,"Toronto but Canada-remote possible"
RBC,https://rbc.com/careers,greenhouse,seed,2026-04-10,active,"Canada's biggest bank, tech roles"
TD Bank,https://td.com/careers,greenhouse,seed,2026-04-10,active,"Canada-remote engineering roles"
Shopify,https://shopify.com/careers,greenhouse,seed,2026-04-10,active,"Canada-remote, strong engineering culture"
